Summit or Place,Latitude,Longitude
Croaghanmoira,52.91845,-6.36654
Croaghaun SW Top,53.98168,-10.2056
Bengower,53.49193,-9.83436
Stumpa Dúloigh SW Top,51.94935,-9.77738
Camenabologue SE Top,52.99945,-6.45668
Sugarloaf Hill,52.2465,-7.94259
Binn Mhór,53.48331,-9.63001
Beenmore,52.01589,-10.0452
Binn idir an dá Log SE Top,53.51177,-9.66802
Knockowen,51.7388,-9.72532
Mullacor,52.98524,-6.37367
Beann SW Top,51.92203,-9.86318
Mount Leinster East Top,52.62016,-6.75402
Chimney Rock Mtn,54.16241,-5.91238
Knocknagnauv,52.22696,-7.88209
Cnoc na dTarbh,52.00584,-9.65741
Cove Mtn,54.17533,-5.9538
Dromderalough NE Top,51.95957,-9.4998
Muckanaght,53.52246,-9.85857
Knockshanahullion,52.24617,-8.00145
Keadeen Mtn,52.95051,-6.58149
Lugduff,52.99855,-6.40376
Ballineddan Mtn,52.95882,-6.50883
Dooish,55.03672,-8.02867
Been Hill,52.00336,-10.0548
Dromderalough,51.95403,-9.51213
Lavagh Beg,54.77169,-8.11536
Hag's Tooth,52.00524,-9.7344
Crohane,51.99116,-9.38411
An Cnapán Mór,52.1738,-10.1608
Mullaghanish,51.98301,-9.14385
Coomcallee,51.84529,-9.99754
Seahan,53.21694,-6.38219
Truskmore,54.37422,-8.3716
Devilsmother,53.60083,-9.63866
Coomnadiha,51.78133,-9.67102
Musheramore,52.01347,-8.9783
Tonduff,53.16131,-6.26728
Ardnageer,54.76598,-8.04779
Cnoc na Bánóige,52.17659,-10.1229
Cush,52.38769,-8.1559
Scarr,53.05539,-6.31145
Knocklomena,51.92878,-9.74888
Croaghbane,54.76757,-8.03411
Binn Mhór NE Top,53.48551,-9.61974
Slieve Corragh,54.18906,-5.95245
Drung Hill,52.02515,-10.0364
Cnoc na gCapall,51.93101,-9.69584
Beann South Top,51.91836,-9.84925
Eagle Mtn,54.14079,-6.09582
Benfree,53.52564,-9.84401
Lugduff SE Top,52.99446,-6.39125
Knocknamanagh,51.83883,-9.4652
Beann Far SW Top,51.91673,-9.87058
Coomnacronia,51.89713,-9.91846
Lobawn,53.02233,-6.54356
Mullaghclogha,54.80636,-7.1342
Kells Mtn,52.00549,-10.1443
Binn Chaonaigh,53.50275,-9.65795
Bencullagh,53.51895,-9.87662
Boughil,51.92908,-9.68433
Monabrack,52.34885,-8.20655
Slieve Binnian East Top,54.14047,-5.97084
Laghtshanaquilla,52.37755,-8.07237
Knocknalougha,52.24238,-7.97228
Slievanea,52.18382,-10.1829
Glennamong,53.99078,-9.65788
Nephin Beg,54.03022,-9.63065
Mullaghaneany,54.83069,-6.93448
Shanlieve,54.13813,-6.10243
Ardnageer SW Top,54.76229,-8.05771
Knocknamanagh NE Top,51.84887,-9.44927
Ballysitteragh,52.18224,-10.2515
Mullach Glas,53.48267,-9.60126
Maulin,51.693,-9.86214
Seefin,53.18615,-6.39415
Meenard Mtn,54.83037,-6.95368
Dart Mtn,54.81099,-7.06361
Leenaun Hill,53.57208,-9.69998
Corrig Mtn,53.21383,-6.36855
Coumaraglin Mtn,52.18975,-7.58797
Slieve Loughshannagh,54.17753,-6.0181
Slieve Snaght,55.19628,-7.33419
Binn Mhairg,53.50697,-9.65484
Kells Mtn East Top,52.00751,-10.1323
Corcogemore,53.4821,-9.57846
Tievebaun,54.39718,-8.35707
Knockbrack,51.94424,-9.52173
Coombane,52.21635,-10.0964
Beennabrack,52.17937,-10.2395
Stoompa East Top,51.98146,-9.43058
Macklaun,51.98954,-9.95143
Knocknahillion,53.52182,-9.70394
Croghan Kinsella,52.79546,-6.32409
Carran,51.85574,-9.37592
Baurtregaum Far NE Top,52.22014,-9.80243
Lackabane,51.72223,-9.80759
Gullaba Hill,51.85753,-9.4448
Letterbreckaun NE Top,53.53678,-9.71766
Aghla Beg South Top,55.06939,-8.05446
Black Hill,53.12197,-6.44527
Maumonght,53.52055,-9.88616
Knocknadobar North Top,52.00097,-10.1836
Knockeenatoung,52.34932,-8.15505
Devilsmother Far North Top,53.61788,-9.63282
Eskatarriff,51.71857,-9.82906
Lough Curra Mound,52.36978,-8.19276
Silver Hill,54.76936,-8.14596
Castle Hill,52.19547,-9.81973
